Product_ID,Product_Name,Brand_Name,Claim_Text,Visual_Cues_Score,Hazard_Codes,Eco_Keyword_Count,EPA_Safer_Choice,Target_Label
P011,"Formula 409 Formula 409 All-Purpose Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Formula,"ECO-FRIENDLY FORMULA: PROFESSIONAL STRENGTH ALL-PURPOSE CLEANER FOR HEAVY DUTY INDUSTRIAL CLEANING. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",0.0,H319,2,0,Standard
P012,"Advantage Coatings, Inc. Advantage Coatings, Inc. Degreaser - 32oz Spray Bottle, Powerful Cleaning Solution",Advantage,"ECO-FRIENDLY FORMULA: DEGREASER: ORGANIC, PLANT-BASED, BIODEGRADABLE, ECO-FRIENDLY, SUSTAINABLE | EARTH-FRIENDLY | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.7,None,7,1,Verified
P013,"Biochem Supply Biochem Supply Disinfectant Spray - 32oz Spray Bottle, Powerful Cleaning Solution",Biochem,"ECO-FRIENDLY FORMULA: DISINFECTANT SPRAY: ORGANIC, BIODEGRADABLE | ECO-FRIENDLY | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.7,None,4,1,Verified
P014,"IndustrialPro IndustrialPro Laundry Detergent - 32oz Spray Bottle, Powerful Cleaning Solution",IndustrialPro,"ECO-FRIENDLY FORMULA: PROFESSIONAL STRENGTH LAUNDRY DETERGENT FOR HEAVY DUTY INDUSTRIAL CLEANING. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.0,H319,2,0,Standard
P015,"Bright Solutions Bright Solutions Degreaser - 32oz Spray Bottle, Powerful Cleaning Solution",Bright,"ECO-FRIENDLY FORMULA: DEGREASER: BIO-BASED, BIODEGRADABLE, ORGANIC, PLANT-BASED | NON-TOXIC | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic.",0.7,None,7,1,Verified
P016,"Blueline Universal Enterprises Inc. Blueline Universal Enterprises Inc. Dish Soap - 32oz Spray Bottle, Powerful Cleaning Solution",Blueline,"ECO-FRIENDLY FORMULA: DISH SOAP: NON-TOXIC, BIO-BASED, NATURAL | ECO-FRIENDLY | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",1.0,None,5,1,Verified
P017,"20/20 Chemical Company 20/20 Chemical Company Glass Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",20/20,"ECO-FRIENDLY FORMULA: GLASS CLEANER: SUSTAINABLE, NATURAL, GREEN, ECO-FRIENDLY | BIODEGRADABLE | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.7,None,6,1,Verified
P018,"Betco Corporation Betco Corporation Dish Soap - 32oz Spray Bottle, Powerful Cleaning Solution",Betco,"ECO-FRIENDLY FORMULA: DISH SOAP: EARTH-FRIENDLY, BIODEGRADABLE, BIO-BASED | GREEN | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",1.0,None,6,1,Verified
P019,"EcoLogic EcoLogic Disinfectant Spray - 32oz Spray Bottle, Powerful Cleaning Solution",EcoLogic,"ECO-FRIENDLY FORMULA: DISINFECTANT SPRAY: ECO-FRIENDLY, PLANT-BASED, NON-TOXIC, SUSTAINABLE | GREEN | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",1.0,None,5,1,Greenwashed
P020,"BioShield BioShield Degreaser - 32oz Spray Bottle, Powerful Cleaning Solution",BioShield,"ECO-FRIENDLY FORMULA: DEGREASER: BIODEGRADABLE, SUSTAINABLE, GREEN | NATURAL | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",0.7,H319,6,0,Greenwashed
P021,"Blueline Universal Enterprises Inc. Blueline Universal Enterprises Inc. All-Purpose Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Blueline,"ECO-FRIENDLY FORMULA: ALL-PURPOSE CLEANER: NON-TOXIC, ORGANIC | SUSTAINABLE | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.7,None,4,1,Verified
P022,"Betco Corporation Betco Corporation Disinfectant Spray - 32oz Spray Bottle, Powerful Cleaning Solution",Betco,"ECO-FRIENDLY FORMULA: DISINFECTANT SPRAY: GREEN, EARTH-FRIENDLY, SUSTAINABLE | PLANT-BASED | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic.",0.4,None,6,1,Verified
P023,"EcoLogic EcoLogic Glass Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",EcoLogic,"ECO-FRIENDLY FORMULA: GLASS CLEANER: PLANT-BASED, GREEN, EARTH-FRIENDLY, BIODEGRADABLE, NON-TOXIC, NATURAL | ECO-FRIENDLY | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.4,None,8,1,Greenwashed
P024,"Bright Solutions Bright Solutions Dish Soap - 32oz Spray Bottle, Powerful Cleaning Solution",Bright,"ECO-FRIENDLY FORMULA: DISH SOAP: SUSTAINABLE, GREEN | EARTH-FRIENDLY | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic.",0.0,None,4,1,Verified
P025,"Advil Pty Ltd Advil Pty Ltd All-Purpose Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Advil,"ECO-FRIENDLY FORMULA: ALL-PURPOSE CLEANER: EARTH-FRIENDLY, BIODEGRADABLE, ORGANIC | NATURAL | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",1.0,None,7,1,Verified
P026,"EcoPure EcoPure Dish Soap - 32oz Spray Bottle, Powerful Cleaning Solution",EcoPure,"ECO-FRIENDLY FORMULA: DISH SOAP: PLANT-BASED, EARTH-FRIENDLY, BIODEGRADABLE, ORGANIC | SUSTAINABLE | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",0.0,H319,7,0,Greenwashed
P027,"Formula 409 Formula 409 Glass Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Formula,"ECO-FRIENDLY FORMULA: GLASS CLEANER: EARTH-FRIENDLY | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.0,H319,4,0,Standard
P028,"Boston Stone Restoration Boston Stone Restoration Dish Soap - 32oz Spray Bottle, Powerful Cleaning Solution",Boston,"ECO-FRIENDLY FORMULA: DISH SOAP: SUSTAINABLE, ECO-FRIENDLY, GREEN, NATURAL, BIODEGRADABLE | NON-TOXIC | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",1.0,None,6,1,Verified
P029,"Amway Amway Degreaser - 32oz Spray Bottle, Powerful Cleaning Solution",Amway,"ECO-FRIENDLY FORMULA: DEGREASER: BIODEGRADABLE, BIO-BASED, NATURAL, ECO-FRIENDLY, EARTH-FRIENDLY | ORGANIC | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",0.4,None,8,1,Verified
P030,"ABVI/Goodwill of the Finger Lakes ABVI/Goodwill of the Finger Lakes Laundry Detergent - 32oz Spray Bottle, Powerful Cleaning Solution",ABVI/Goodwill,"ECO-FRIENDLY FORMULA: LAUNDRY DETERGENT: ORGANIC, SUSTAINABLE, NATURAL | ECO-FRIENDLY | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",1.0,None,4,1,Verified
P031,"Bona US Bona US Glass Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Bona,"ECO-FRIENDLY FORMULA: GLASS CLEANER: SUSTAINABLE, NON-TOXIC, GREEN, BIO-BASED | EARTH-FRIENDLY | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",1.0,None,6,1,Verified
P032,"Bob Barker Company Bob Barker Company All-Purpose Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Bob,"ECO-FRIENDLY FORMULA: ALL-PURPOSE CLEANER: NATURAL, EARTH-FRIENDLY, ORGANIC, GREEN | ECO-FRIENDLY | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",1.0,None,7,1,Verified
P033,"Amazon.com Services LLC Amazon.com Services LLC All-Purpose Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Amazon.com,"ECO-FRIENDLY FORMULA: ALL-PURPOSE CLEANER: SUSTAINABLE, NON-TOXIC, ECO-FRIENDLY, ORGANIC | GREEN | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.4,None,5,1,Verified
P034,"PowerBlast PowerBlast Degreaser - 32oz Spray Bottle, Powerful Cleaning Solution",PowerBlast,ECO-FRIENDLY FORMULA: DEGREASER: NATURAL | BIODEGRADABLE | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic.,0.0,H319,5,0,Standard
P035,"Bona US Bona US Glass Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Bona,"ECO-FRIENDLY FORMULA: GLASS CLEANER: ORGANIC, GREEN, BIO-BASED | EARTH-FRIENDLY | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",0.4,None,7,1,Verified
P036,"Airex Laboratories Airex Laboratories Disinfectant Spray - 32oz Spray Bottle, Powerful Cleaning Solution",Airex,"ECO-FRIENDLY FORMULA: DISINFECTANT SPRAY: ECO-FRIENDLY, BIODEGRADABLE, EARTH-FRIENDLY | BIO-BASED | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",1.0,None,6,1,Verified
P037,"Zep Zep All-Purpose Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Zep,"ECO-FRIENDLY FORMULA: ALL-PURPOSE CLEANER: NATURAL | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",0.3,"H314, H290",3,1,Standard
P038,"Ace Janitorial Supply Co. Inc. Ace Janitorial Supply Co. Inc. Dish Soap - 32oz Spray Bottle, Powerful Cleaning Solution",Ace,"ECO-FRIENDLY FORMULA: DISH SOAP: EARTH-FRIENDLY, BIODEGRADABLE, PLANT-BASED, ECO-FRIENDLY | NATURAL | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",1.0,H317,6,1,Verified
P039,"Boston Stone Restoration Boston Stone Restoration Glass Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Boston,"ECO-FRIENDLY FORMULA: GLASS CLEANER: GREEN, BIODEGRADABLE | BIO-BASED | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",0.7,None,6,1,Verified
P040,"EcoPure EcoPure Glass Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",EcoPure,"ECO-FRIENDLY FORMULA: GLASS CLEANER: SUSTAINABLE, GREEN, ORGANIC | BIO-BASED | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic.",1.0,H319,6,0,Greenwashed
P041,"MaxClean MaxClean Dish Soap - 32oz Spray Bottle, Powerful Cleaning Solution",MaxClean,"ECO-FRIENDLY FORMULA: PROFESSIONAL STRENGTH DISH SOAP FOR HEAVY DUTY INDUSTRIAL CLEANING. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",0.0,H319,3,0,Standard
P042,"Formula 409 Formula 409 Glass Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Formula,"ECO-FRIENDLY FORMULA: GLASS CLEANER: PLANT-BASED | SUSTAINABLE | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.0,H319,3,0,Standard
P043,"Boston Stone Restoration Boston Stone Restoration Laundry Detergent - 32oz Spray Bottle, Powerful Cleaning Solution",Boston,"ECO-FRIENDLY FORMULA: LAUNDRY DETERGENT: SUSTAINABLE, GREEN | EARTH-FRIENDLY | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",0.7,None,4,1,Verified
P044,"AlEn USA AlEn USA Laundry Detergent - 32oz Spray Bottle, Powerful Cleaning Solution",AlEn,"ECO-FRIENDLY FORMULA: LAUNDRY DETERGENT: NON-TOXIC, ECO-FRIENDLY, ORGANIC | PLANT-BASED | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.7,None,5,1,Verified
P045,"Bob Barker Company Bob Barker Company All-Purpose Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",Bob,"ECO-FRIENDLY FORMULA: ALL-PURPOSE CLEANER: ORGANIC, ECO-FRIENDLY, BIO-BASED, BIODEGRADABLE | EARTH-FRIENDLY | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.0,None,7,1,Verified
P046,"Birsch Industries, Inc. Birsch Industries, Inc. Laundry Detergent - 32oz Spray Bottle, Powerful Cleaning Solution",Birsch,"ECO-FRIENDLY FORMULA: LAUNDRY DETERGENT: GREEN, BIODEGRADABLE, ORGANIC, SUSTAINABLE | ECO-FRIENDLY | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",1.0,None,5,1,Verified
P047,"4 State Maintenance Supply 4 State Maintenance Supply Degreaser - 32oz Spray Bottle, Powerful Cleaning Solution",4,"ECO-FRIENDLY FORMULA: DEGREASER: BIODEGRADABLE, SUSTAINABLE | NON-TOXIC | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",1.0,H319,4,1,Verified
P048,"PureLeaf PureLeaf Disinfectant Spray - 32oz Spray Bottle, Powerful Cleaning Solution",PureLeaf,"ECO-FRIENDLY FORMULA: DISINFECTANT SPRAY: ECO-FRIENDLY, BIODEGRADABLE, GREEN | NON-TOXIC | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",1.0,H319,5,0,Greenwashed
P049,"EcoLogic EcoLogic Laundry Detergent - 32oz Spray Bottle, Powerful Cleaning Solution",EcoLogic,"ECO-FRIENDLY FORMULA: LAUNDRY DETERGENT: PLANT-BASED, BIO-BASED, ECO-FRIENDLY, SUSTAINABLE | EARTH-FRIENDLY | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",1.0,None,6,1,Greenwashed
P050,"IndustrialPro IndustrialPro Degreaser - 32oz Spray Bottle, Powerful Cleaning Solution",IndustrialPro,ECO-FRIENDLY FORMULA: DEGREASER: NON-TOXIC | EARTH-FRIENDLY | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.,0.0,H319,4,0,Standard
P051,"BioShield BioShield Disinfectant Spray - 32oz Spray Bottle, Powerful Cleaning Solution",BioShield,"ECO-FRIENDLY FORMULA: DISINFECTANT SPRAY: ORGANIC, ECO-FRIENDLY, NON-TOXIC, NATURAL | GREEN | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",0.7,H319,5,0,Greenwashed
